CO(GT),PT08.S1(CO),C6H6(GT),PT08.S2(NMHC),NOx(GT),PT08.S3(NOx),NO2(GT),PT08.S4(NO2),PT08.S5(O3),T,RH,AH
2.1527495439145157,831.0,1.1,506.0,21.0,1893.0,32.0,1134.0,384.0,6.1,65.9,0.6248
0.6,847.0,1.0,501.0,30.0,1895.0,44.0,1155.0,394.0,6.3,65.0,0.6233
0.9,888.0,2.2,598.0,46.0,1396.0,58.0,1156.0,417.0,10.6,48.0,0.6135
0.6,818.0,1.3,524.0,21.0,1588.0,31.0,1071.0,341.0,10.7,45.8,0.5895
0.5,840.0,1.1,509.0,22.0,1643.0,38.0,1076.0,352.0,10.4,46.6,0.5901
0.6,864.0,1.2,516.0,39.0,1496.0,59.0,1153.0,502.0,11.3,46.9,0.628
0.6,797.0,2.3,606.0,26.0,1452.0,35.0,1076.0,368.0,22.2,18.9,0.4993
0.7,884.0,3.9,703.0,34.0,1076.0,46.0,1394.0,488.0,37.9,18.8,1.222
2.1527495439145157,822.0,1.8,569.0,14.0,1204.0,22.0,1396.0,429.0,25.6,46.8,1.5111
0.5,857.0,3.5,685.0,24.0,1055.0,33.0,1331.0,451.0,39.2,20.2,1.4104
0.6,824.0,3.5,683.0,34.0,1119.0,42.0,1270.0,393.0,38.1,18.5,1.2141
0.7,841.0,3.3,673.0,40.0,1061.0,56.0,1394.0,451.0,33.6,28.8,1.4695
0.7,838.0,4.3,726.0,46.0,1056.0,61.0,1382.0,440.0,35.0,22.4,1.2371
0.7,831.0,3.4,676.0,37.0,1041.0,49.0,1350.0,463.0,34.8,24.5,1.3373
0.7,840.0,3.6,685.0,33.0,1051.0,44.0,1339.0,462.0,38.2,19.6,1.2915
0.6,810.0,3.2,664.0,11.0,1123.0,17.0,1312.0,478.0,37.3,20.5,1.286
0.4,820.0,2.2,597.0,18.0,1069.0,29.0,1346.0,603.0,24.3,48.3,1.4449
0.4,828.0,2.5,618.0,23.0,1039.0,25.0,1354.0,560.0,23.6,49.2,1.4153
2.1527495439145157,779.0,1.7,560.0,19.0,1189.0,31.0,1231.0,487.0,23.0,47.7,1.3232
0.5,842.0,2.8,640.0,40.0,1070.0,45.0,1293.0,595.0,23.7,46.7,1.3501
0.4,749.0,1.7,559.0,25.0,1145.0,33.0,1255.0,584.0,22.5,48.6,1.3077
4.9,1410.0,35.2,1669.0,458.0,393.0,117.0,2555.0,1644.0,23.2,54.0,1.5143
5.2,1464.0,30.0,1552.0,417.0,419.0,67.0,2366.0,1738.0,22.8,54.2,1.4886
3.1,1372.0,18.4,1251.0,475.0,609.0,138.0,1890.0,1588.0,25.4,53.0,1.6963
3.0,1317.0,19.9,1295.0,891.0,593.0,172.0,1883.0,1592.0,26.1,46.4,1.5445
6.1,1546.0,28.6,1519.0,622.0,493.0,170.0,2265.0,1649.0,26.5,50.8,1.7334
6.7,1571.0,31.8,1593.0,615.0,469.0,173.0,2409.0,1686.0,25.1,55.8,1.7511
4.4,1312.0,20.1,1299.0,443.0,580.0,135.0,2016.0,1380.0,23.9,58.9,1.7276
5.7,1479.0,27.5,1490.0,737.0,494.0,159.0,2146.0,1749.0,23.5,49.7,1.4156
5.0,1386.0,28.8,1522.0,505.0,560.0,184.0,1990.0,1469.0,34.1,23.0,1.2081
5.6,1426.0,31.1,1577.0,566.0,521.0,200.0,2080.0,1648.0,30.5,29.2,1.2585
0.6,843.0,3.1,656.0,55.0,1042.0,50.0,1271.0,665.0,22.1,49.8,1.3094
5.3,1490.0,27.3,1487.0,665.0,508.0,161.0,2115.0,1807.0,22.6,51.4,1.392
4.4,1308.0,20.0,1297.0,428.0,567.0,173.0,1899.0,1454.0,24.8,49.0,1.5092
0.6,812.0,2.4,613.0,54.0,1133.0,47.0,1302.0,626.0,23.0,54.0,1.501
5.5,1494.0,29.0,1528.0,701.0,479.0,165.0,2201.0,1798.0,23.5,52.0,1.4833
5.0,1424.0,27.3,1486.0,506.0,523.0,218.0,2084.0,1537.0,32.2,28.8,1.3624
0.5,847.0,2.5,620.0,84.0,1085.0,58.0,1339.0,670.0,22.9,57.5,1.5879
4.7,1421.0,25.6,1444.0,402.0,510.0,173.0,2056.0,1446.0,27.2,45.9,1.6302
5.6,1583.0,29.4,1538.0,803.0,461.0,160.0,2214.0,1788.0,23.0,56.4,1.5614
3.4,1338.0,20.3,1305.0,539.0,543.0,138.0,1929.0,1521.0,25.1,49.5,1.5572
3.7,1376.0,22.3,1359.0,422.0,530.0,143.0,1998.0,1435.0,26.2,46.0,1.5422
4.6,1467.0,26.9,1477.0,483.0,491.0,153.0,2114.0,1592.0,25.4,48.7,1.5594
4.2,1442.0,24.0,1403.0,496.0,518.0,145.0,2026.0,1551.0,25.6,48.3,1.558
3.3,1358.0,19.3,1277.0,403.0,563.0,123.0,1892.0,1429.0,25.7,47.8,1.5548
1.1,815.0,4.6,743.0,54.0,1183.0,21.0,1095.0,536.0,22.1,24.8,0.6514
6.5,1728.0,35.9,1683.0,623.0,419.0,188.0,2365.0,1861.0,25.4,47.9,1.5346
6.3,1673.0,34.0,1643.0,572.0,436.0,182.0,2259.0,1781.0,24.6,50.0,1.5241
5.7,1636.0,30.1,1553.0,514.0,449.0,166.0,2130.0,1745.0,23.6,54.4,1.5687
4.4,1468.0,20.0,1296.0,414.0,529.0,142.0,1854.0,1590.0,22.6,59.5,1.6155
3.7,1427.0,20.5,1311.0,531.0,503.0,114.0,1900.0,1594.0,22.3,59.3,1.5705
3.6,1473.0,21.2,1330.0,619.0,497.0,129.0,1908.0,1677.0,23.2,56.6,1.5929
3.4,1440.0,19.9,1294.0,522.0,506.0,137.0,1879.0,1616.0,23.8,54.7,1.587
3.7,1474.0,21.1,1326.0,505.0,485.0,134.0,1943.0,1610.0,23.5,56.2,1.6048
4.1,1485.0,22.3,1359.0,465.0,477.0,132.0,2005.0,1614.0,23.9,54.4,1.5963
5.6,1629.0,26.5,1466.0,540.0,458.0,169.0,2130.0,1703.0,25.8,46.9,1.5375
5.3,1576.0,26.1,1458.0,418.0,463.0,119.0,2024.0,1637.0,25.2,45.8,1.4464
6.7,1747.0,37.1,1709.0,515.0,399.0,128.0,2370.0,1876.0,24.0,50.6,1.4892
7.0,1757.0,35.7,1680.0,669.0,396.0,117.0,2280.0,1959.0,23.2,54.7,1.5296
5.1,1582.0,29.5,1539.0,693.0,435.0,128.0,2141.0,1827.0,23.2,54.7,1.5349
3.7,1468.0,21.0,1323.0,530.0,496.0,105.0,1913.0,1641.0,24.4,52.5,1.5807
3.3,1413.0,19.6,1285.0,412.0,518.0,101.0,1883.0,1505.0,26.4,45.8,1.553
4.8,1674.0,25.7,1447.0,461.0,448.0,122.0,2065.0,1689.0,26.5,52.7,1.7966
3.7,1520.0,17.2,1217.0,409.0,552.0,103.0,1812.0,1357.0,24.7,56.9,1.7438
