CO(GT),PT08.S1(CO),C6H6(GT),PT08.S2(NMHC),NOx(GT),PT08.S3(NOx),NO2(GT),PT08.S4(NO2),PT08.S5(O3),T,RH,AH
1.4,986.0,7.7,885.0,146.0,835.0,94.0,1407.0,931.0,23.0,43.0,1.1897
1.5,1010.0,6.5,836.0,66.0,848.0,79.0,1577.0,616.0,31.1,38.8,1.7295
0.5,825.0,3.2,667.0,47.0,1079.0,62.0,1475.0,659.0,22.8,48.9,1.3424
1.7,1121.0,7.4,873.0,317.0,697.0,195.0,1206.0,1000.0,6.7,76.2,0.7519
1.6,958.0,9.0,940.0,246.8967349054159,820.0,113.09125081011017,1380.0,728.0,32.4,19.4,0.9279
5.1,1589.0,24.1,1407.0,932.0,556.0,203.0,1757.0,1972.0,15.8,57.9,1.0292
2.0,1075.0,8.4,917.0,231.0,737.0,87.0,1354.0,1037.0,17.5,60.7,1.2009
0.8,839.0,1.4,536.0,69.0,1229.0,60.0,970.0,600.0,9.3,65.9,0.7757
3.2,1289.0,21.4,1335.0,542.0,724.0,130.0,1681.0,1521.0,21.0,35.6,0.8736
2.1527495439145157,1138.0,9.9,974.0,122.0,683.0,91.0,1716.0,1338.0,23.9,46.5,1.3637
4.6,1482.0,20.8,1319.0,230.0,660.0,146.0,1975.0,1703.0,21.5,40.8,1.0333
0.6,869.0,6.5,835.0,61.0,1078.0,76.0,1437.0,807.0,19.2,42.0,0.9248
1.0,962.0,5.3,778.0,35.0,929.0,44.0,1645.0,726.0,23.3,59.4,1.6753
2.1527495439145157,862.0,3.0,649.0,246.8967349054159,1046.0,113.09125081011017,1289.0,675.0,14.4,84.6,1.3794
2.3,1144.0,11.9,1046.0,246.8967349054159,682.0,113.09125081011017,1564.0,879.0,40.7,17.0,1.2793
2.1527495439145157,1522.0,26.1,1457.0,246.8967349054159,458.0,113.09125081011017,2043.0,1611.0,18.8,73.0,1.5737
2.9,1383.0,11.2,1020.0,243.0,1008.0,135.0,1719.0,1104.0,9.8,67.6,0.8185
2.6,1215.0,15.1,1150.0,282.0,608.0,118.0,1733.0,1115.0,30.4,37.2,1.588
1.2,935.0,3.3,672.0,65.0,1299.0,61.0,1183.0,415.0,19.6,27.4,0.6162
2.6,1081.0,9.3,950.0,124.0,907.0,109.0,1496.0,924.0,17.3,38.8,0.7584
1.6,1088.0,6.9,853.0,277.0,729.0,180.0,996.0,1122.0,10.5,33.4,0.4246
0.3,1159.0,5.0,762.0,177.0,742.0,102.0,1158.0,590.0,19.7,37.1,0.8399
1.4,1036.0,7.0,859.0,73.0,900.0,83.0,1645.0,860.0,28.4,39.1,1.4881
1.6,1124.0,9.8,972.0,279.0,674.0,69.0,1568.0,1092.0,18.8,71.8,1.5372
3.3,1172.0,15.3,1159.0,246.8967349054159,597.0,113.09125081011017,1653.0,1290.0,27.4,30.8,1.1112
1.6,1236.0,5.2,774.0,104.0,1301.0,95.0,1401.0,664.0,9.5,66.8,0.7951
2.1527495439145157,1113.0,5.2,772.0,246.8967349054159,989.0,113.09125081011017,1493.0,646.0,16.6,56.1,1.0481
2.1527495439145157,1298.0,17.2,1215.0,253.0,539.0,185.0,2068.0,1404.0,29.1,45.5,1.7998
2.8,1172.0,13.7,1108.0,166.0,706.0,122.0,1878.0,1058.0,28.3,34.5,1.3084
1.5,1102.0,6.0,812.0,235.0,693.0,158.0,1178.0,1042.0,16.4,46.6,0.8642
4.0,1197.0,13.6,1102.0,454.0,609.0,195.0,1309.0,1253.0,7.8,50.8,0.5384
1.2,874.0,2.5,623.0,125.0,1096.0,78.0,847.0,831.0,2.8,55.2,0.4177
2.1527495439145157,910.0,4.0,712.0,94.0,872.0,42.0,1341.0,836.0,19.6,66.9,1.5125
