CO(GT),PT08.S1(CO),C6H6(GT),PT08.S2(NMHC),NOx(GT),PT08.S3(NOx),NO2(GT),PT08.S4(NO2),PT08.S5(O3),T,RH,AH
7.3,1875.0,33.7,1637.0,351.0,482.0,158.0,2446.0,2086.0,17.4,47.8,0.9392
2.6,982.0,10.7,1003.0,498.0,1037.0,189.0,1117.0,1072.0,17.2,22.4,0.4354
0.8,927.0,1.8,571.0,56.0,1685.0,71.0,1223.0,487.0,6.8,62.9,0.6234
1.7,974.0,5.0,764.0,196.0,910.0,107.0,1029.0,992.0,9.5,51.0,0.6045
3.4,1234.0,18.6,1257.0,212.0,695.0,162.0,2019.0,1349.0,30.7,32.2,1.3983
2.1527495439145157,898.0,2.6,624.0,129.0,987.0,108.0,825.0,871.0,0.8,53.8,0.3542
2.5,1162.0,15.1,1151.0,116.0,687.0,115.0,1912.0,1143.0,31.9,30.6,1.4201
1.3,924.0,8.5,920.0,92.0,767.0,62.0,1534.0,946.0,22.2,45.0,1.1867
2.1527495439145157,1015.0,6.6,839.0,99.0,754.0,59.0,1473.0,970.0,21.4,69.3,1.7515
0.8,951.0,2.8,642.0,109.0,895.0,86.0,929.0,666.0,12.7,40.8,0.5977
2.1527495439145157,1311.0,19.6,1286.0,246.8967349054159,544.0,113.09125081011017,1760.0,1495.0,20.9,58.1,1.4193
2.5,1143.0,14.9,1146.0,202.0,701.0,142.0,1917.0,1292.0,29.3,34.8,1.397
1.0,888.0,2.6,625.0,170.0,1062.0,118.0,763.0,510.0,7.8,28.3,0.3017
2.2,1051.0,13.3,1094.0,224.0,646.0,108.0,1675.0,966.0,32.4,26.3,1.2594
0.2,863.0,2.5,622.0,97.0,1025.0,74.0,826.0,574.0,4.1,42.1,0.3487
3.5,1097.0,14.9,1144.0,434.0,702.0,145.0,1517.0,1274.0,19.1,36.8,0.8066
1.3,1009.0,4.8,751.0,223.0,828.0,154.0,939.0,1053.0,4.1,54.7,0.4536
2.6,1053.0,15.8,1173.0,189.0,785.0,140.0,1808.0,981.0,34.0,20.8,1.0898
0.2,1125.0,4.9,758.0,167.0,820.0,104.0,1241.0,867.0,9.8,81.9,0.9923
5.9,1898.0,23.1,1381.0,325.0,681.0,173.0,2103.0,1905.0,17.6,46.1,0.921
3.3,1590.0,17.3,1219.0,602.0,410.0,147.0,1677.0,1830.0,17.6,59.7,1.188
0.6,907.0,2.9,644.0,152.0,1028.0,104.0,902.0,732.0,6.6,47.9,0.4686
2.0,1110.0,8.2,909.0,125.0,916.0,115.0,1487.0,984.0,13.2,50.3,0.7577
3.5,1293.0,15.1,1153.0,584.0,602.0,283.0,1141.0,1667.0,6.6,34.4,0.3359
2.5,1277.0,9.3,952.0,144.0,802.0,111.0,1607.0,1284.0,14.9,59.1,0.9928
1.7,1147.0,8.4,914.0,215.0,633.0,113.0,1233.0,801.0,22.9,29.2,0.8055
2.1,1199.0,11.8,1041.0,320.0,574.0,158.0,1271.0,986.0,28.3,17.9,0.6769
3.9,1444.0,17.6,1227.0,646.0,485.0,231.0,1414.0,1891.0,9.3,55.5,0.6503
3.4,1458.0,20.9,1321.0,201.0,654.0,122.0,2023.0,1516.0,22.4,37.9,1.016
3.2,1278.0,16.1,1182.0,561.0,585.0,132.0,1734.0,1354.0,19.7,65.4,1.4854
0.7,833.0,2.0,584.0,107.0,1144.0,80.0,821.0,463.0,11.3,32.5,0.4334
0.6,804.0,2.4,616.0,246.8967349054159,1271.0,113.09125081011017,1189.0,496.0,20.4,47.1,1.1178
3.5,1266.0,14.6,1138.0,205.0,726.0,129.0,1747.0,1370.0,14.1,49.6,0.7931
1.8,1267.0,7.6,883.0,103.0,953.0,82.0,1617.0,906.0,19.4,46.1,1.0249
2.5,1060.0,11.9,1048.0,414.0,707.0,181.0,983.0,1246.0,12.5,17.2,0.2477
1.2,1058.0,6.5,833.0,47.0,804.0,53.0,1623.0,626.0,38.3,27.1,1.797
2.1527495439145157,1392.0,17.7,1231.0,246.8967349054159,530.0,113.09125081011017,1771.0,1567.0,25.7,46.4,1.507
0.4,769.0,2.0,586.0,60.0,1221.0,45.0,1134.0,650.0,17.1,52.5,1.013
2.1527495439145157,1141.0,12.0,1049.0,246.8967349054159,675.0,113.09125081011017,1530.0,1117.0,21.0,46.8,1.1508
3.3,1148.0,13.6,1104.0,258.0,723.0,138.0,1713.0,1301.0,21.0,37.9,0.9313
0.3,771.0,0.9,490.0,48.0,1419.0,39.0,990.0,411.0,6.3,84.8,0.8148
1.6,1091.0,10.2,987.0,71.0,737.0,104.0,1711.0,774.0,34.0,30.9,1.6158
0.5,703.0,1.1,512.0,81.0,2121.0,48.0,837.0,356.0,10.5,37.9,0.4821
0.5,893.0,1.1,507.0,59.0,1111.0,51.0,794.0,489.0,6.9,42.2,0.4224
3.6,1297.0,19.7,1287.0,192.0,723.0,138.0,1798.0,1216.0,21.5,24.5,0.6203
0.8,909.0,3.6,690.0,29.0,1039.0,37.0,1488.0,474.0,35.1,32.1,1.7841
3.3,1551.0,20.2,1303.0,435.0,469.0,99.0,1520.0,2171.0,13.5,51.5,0.793
2.1527495439145157,1008.0,9.7,968.0,246.8967349054159,783.0,113.09125081011017,1348.0,1000.0,17.3,50.3,0.9837
2.1527495439145157,1046.0,7.3,872.0,246.8967349054159,769.0,113.09125081011017,1479.0,968.0,16.4,77.1,1.4243
0.5,794.0,1.8,567.0,35.0,1426.0,40.0,1306.0,406.0,23.5,35.2,1.0019
2.4,1129.0,11.4,1028.0,352.0,661.0,126.0,1480.0,1050.0,17.7,55.5,1.1127
1.9,1208.0,6.9,853.0,98.0,1060.0,89.0,1506.0,647.0,20.3,38.0,0.8942
2.2,991.0,10.0,977.0,272.0,872.0,110.0,1448.0,923.0,22.3,42.2,1.1209
0.5,810.0,3.1,657.0,11.0,1016.0,20.0,1337.0,629.0,24.5,41.5,1.2589
2.0,1054.0,12.6,1069.0,112.0,785.0,106.0,1766.0,817.0,36.1,22.7,1.3324
0.8,872.0,4.0,709.0,34.0,1034.0,51.0,1522.0,599.0,21.3,58.1,1.457
5.0,1551.0,23.0,1377.0,1000.0,564.0,168.0,1734.0,2038.0,15.3,63.2,1.0898
3.5,1433.0,16.2,1186.0,586.0,479.0,151.0,1497.0,1738.0,11.9,69.0,0.9568
1.4,937.0,4.7,750.0,263.0,1386.0,102.0,1141.0,790.0,14.3,55.4,0.9005
1.7,1118.0,10.6,999.0,69.0,706.0,79.0,1766.0,878.0,34.7,35.9,1.9528
2.1527495439145157,1106.0,8.5,921.0,246.8967349054159,720.0,113.09125081011017,1506.0,1055.0,21.1,62.8,1.5505
2.0,1101.0,8.4,916.0,251.0,721.0,159.0,1125.0,861.0,11.6,38.7,0.5271
2.1527495439145157,1043.0,14.7,1139.0,246.8967349054159,876.0,113.09125081011017,1756.0,1001.0,27.2,28.3,1.0016
1.6,988.0,4.5,738.0,209.0,843.0,154.0,906.0,893.0,7.1,39.6,0.4019
1.5,1181.0,8.9,935.0,158.0,701.0,62.0,1565.0,960.0,24.9,56.0,1.7367
0.7,851.0,3.0,655.0,52.0,1051.0,43.0,1301.0,625.0,21.4,57.6,1.4469
0.5,734.0,2.3,603.0,40.0,1471.0,48.0,1303.0,450.0,25.9,28.8,0.9475
0.5,691.0,0.7,471.0,63.0,1552.0,53.0,698.0,357.0,5.6,37.7,0.3444
0.9,867.0,2.1,590.0,116.0,1088.0,100.0,826.0,465.0,7.2,47.8,0.487
1.7,1142.0,8.6,924.0,234.0,629.0,122.0,1236.0,819.0,25.5,24.7,0.7928
1.7,1122.0,8.7,926.0,105.0,805.0,88.0,1619.0,1174.0,16.9,58.8,1.125
3.2,1174.0,18.8,1264.0,396.0,670.0,145.0,1598.0,1287.0,28.9,21.3,0.8382
3.4,1162.0,12.6,1070.0,399.0,625.0,189.0,1229.0,1237.0,8.6,48.2,0.5385
2.1527495439145157,1071.0,7.1,860.0,246.8967349054159,742.0,113.09125081011017,1500.0,1021.0,20.4,64.4,1.522
0.3,932.0,2.9,645.0,142.0,916.0,105.0,882.0,1006.0,1.2,63.7,0.4327
1.6,1105.0,6.4,828.0,246.8967349054159,735.0,113.09125081011017,997.0,1157.0,2.1,64.2,0.4633
0.9,854.0,3.1,658.0,42.0,1409.0,46.0,1108.0,369.0,22.0,19.0,0.4969
2.8,1153.0,8.8,933.0,443.0,687.0,161.0,1133.0,1268.0,4.7,69.0,0.5936
2.1527495439145157,1169.0,13.7,1107.0,246.8967349054159,607.0,113.09125081011017,1818.0,1175.0,27.8,45.4,1.6751
2.1527495439145157,1100.0,11.5,1034.0,246.8967349054159,995.0,113.09125081011017,1586.0,958.0,27.1,24.2,0.856
2.1527495439145157,942.0,4.0,712.0,246.8967349054159,979.0,113.09125081011017,1303.0,734.0,17.2,66.7,1.2987
3.9,1099.8331664998332,10.08310532754978,939.1533755978201,415.0,835.4936047158269,240.0,1456.2645979312647,1022.9061283505728,18.31782894005115,49.23420086753411,1.025530274719162
1.2,1141.0,5.3,777.0,69.0,986.0,83.0,1455.0,1060.0,15.1,58.2,0.9886
1.5,1114.0,4.9,757.0,212.0,744.0,107.0,1204.0,1070.0,13.2,66.8,1.0087
2.2,1216.0,10.9,1013.0,322.0,576.0,161.0,1277.0,967.0,27.8,20.0,0.7378
2.1527495439145157,969.0,2.4,611.0,246.8967349054159,1239.0,113.09125081011017,1330.0,430.0,14.8,63.3,1.0584
1.8,1242.0,9.9,973.0,99.0,856.0,106.0,1632.0,819.0,26.8,33.5,1.1602
0.4,873.0,0.9,485.0,78.0,1305.0,67.0,1083.0,512.0,10.7,80.7,1.0377
4.8,1443.0,20.9,1323.0,757.0,486.0,115.0,1760.0,1487.0,14.2,78.0,1.254
3.6,1339.0,22.0,1352.0,225.0,569.0,187.0,1990.0,1469.0,40.6,18.2,1.368
2.0,1286.0,10.1,982.0,268.0,550.0,117.0,1458.0,1353.0,17.7,63.5,1.27
2.2,1050.0,9.4,956.0,456.0,725.0,89.0,1162.0,1025.0,4.3,85.4,0.7152
1.4,919.0,5.6,795.0,315.0,2327.0,110.0,998.0,822.0,12.3,35.8,0.5086
0.6,835.0,1.5,546.0,102.0,1111.0,81.0,768.0,391.0,12.2,35.6,0.5038
2.1527495439145157,1163.0,7.0,859.0,246.8967349054159,921.0,113.09125081011017,1603.0,783.0,17.4,58.9,1.1567
0.5,851.0,1.6,551.0,30.0,1224.0,37.0,1443.0,463.0,24.5,56.9,1.7225
2.2,1104.0,10.4,993.0,170.0,705.0,74.0,1539.0,1081.0,31.0,29.1,1.2885
2.0,1235.0,13.3,1094.0,111.0,756.0,107.0,1729.0,907.0,31.3,22.3,1.0043
0.6,1099.8331664998332,10.08310532754978,939.1533755978201,23.0,835.4936047158269,36.0,1456.2645979312647,1022.9061283505728,18.31782894005115,49.23420086753411,1.025530274719162
4.5,1392.0,21.0,1325.0,1145.0,511.0,194.0,1631.0,1465.0,11.2,80.7,1.0688
2.1,1028.0,12.0,1048.0,171.0,719.0,93.0,1624.0,1135.0,27.1,32.4,1.1462
1.4,923.0,6.0,811.0,59.0,804.0,69.0,1434.0,604.0,27.8,35.6,1.3116
1.6,1093.0,5.5,789.0,241.0,771.0,127.0,1206.0,949.0,13.5,63.4,0.9755
0.5,919.0,3.9,704.0,246.8967349054159,861.0,113.09125081011017,1603.0,860.0,24.4,65.0,1.9612
1.0,991.0,3.0,653.0,228.0,944.0,146.0,885.0,931.0,5.9,45.1,0.4211
1.3,1012.0,6.1,817.0,302.0,819.0,89.0,1314.0,878.0,12.2,78.8,1.1178
4.2,1231.0,21.6,1341.0,274.0,626.0,170.0,1937.0,1578.0,30.3,25.6,1.0879
0.6,955.0,5.4,783.0,240.0,844.0,151.0,976.0,845.0,10.0,40.6,0.4971
5.3,1590.0,26.5,1466.0,999.0,448.0,198.0,1831.0,2003.0,13.3,66.9,1.0163
1.2,929.0,3.1,659.0,220.0,920.0,147.0,851.0,1033.0,2.0,53.5,0.3831
1.2,1019.0,6.3,825.0,229.0,781.0,138.0,994.0,901.0,14.5,28.3,0.4665
2.1527495439145157,919.0,3.0,652.0,246.8967349054159,953.0,113.09125081011017,1045.0,712.0,9.9,61.3,0.7499
3.5,1383.0,17.3,1218.0,758.0,497.0,196.0,1506.0,1738.0,13.0,60.9,0.9061
2.6,1386.0,13.0,1083.0,159.0,798.0,109.0,1833.0,1159.0,11.9,73.7,1.0254
2.4,1383.0,14.1,1119.0,550.0,522.0,201.0,1415.0,1310.0,13.2,51.4,0.776
0.7,858.0,2.2,597.0,141.0,1054.0,104.0,857.0,690.0,9.0,37.3,0.4297
1.6,1046.0,8.0,901.0,69.0,849.0,94.0,1464.0,722.0,37.4,17.0,1.0757
2.1527495439145157,915.0,3.4,674.0,246.8967349054159,970.0,113.09125081011017,1481.0,829.0,20.5,78.0,1.8636
1.2,949.0,7.8,890.0,246.8967349054159,854.0,113.09125081011017,1484.0,884.0,18.8,59.8,1.2847
2.3,1206.0,8.7,928.0,373.0,621.0,161.0,1235.0,1285.0,4.6,82.5,0.7066
2.1527495439145157,796.0,1.5,545.0,246.8967349054159,1210.0,113.09125081011017,853.0,450.0,9.3,44.0,0.5153
2.5,1106.0,7.8,891.0,320.0,708.0,191.0,1058.0,1025.0,7.4,46.9,0.4854
